id,serial,imei,assetid,model,brand,manu,product,pc,state,inetip,updatetime,remarks,lastEditor
2399,8ba25a63,864692036199858,TKMB17120627,"VIVO XPLAY6",VIVO,vivo,PD1610,WETEST-KX-DEVICE-SERVER032,,121.35.103.44,"2021-03-15 03:40:04",,NULL
2402,FDGNW17221009150,864230038350276,TKMB17030302,NEM-AL10,HONOR,HUAWEI,NEM-AL10,WETEST-KX-DEVICE-SERVER039,,183.14.135.245,"2021-03-15 04:59:32",,NULL
2406,LF6SHM45US9PFE7L,863699031170918,TKMB18010431,"OPPO A59S",OPPO,OPPO,A59,WETEST-KX-DEVICE-SERVER021,,183.14.28.94,"2021-03-17 10:54:57",,NULL
2408,M95QACP8PJKCN,861069034193964,TKMB17090341,MX6,MEIZU,Meizu,MX6,WETEST-KX-DEVICE-SERVER034,,183.14.132.148,"2021-03-17 05:20:14",,NULL
2410,WCEIV8PF99999999,862458032178292,TKMB18030697,"OPPO R9M",OPPO,OPPO,R9m,WETEST-KX-DEVICE-SERVER038,,183.14.132.171,"2021-03-16 20:27:27",,NULL
2414,ERLDU19723017083,null,TKMB1909018R,YAL-AL10,HONOR,HUAWEI,YAL-AL10,WETEST-KX-DEVICE-SERVER027,,183.14.132.147,"2021-03-16 17:45:17",,NULL
2416,VSUWVSCELZNBYSWW,866840039131356,TKMB1804003Y,"VIVO Y67A",VIVO,vivo,PD1612,WETEST-KX-DEVICE-SERVER028,,183.14.28.94,"2021-03-16 15:32:52",,NULL
2418,b3afa3e5,862979037394717,TKMB180306K3,"VIVO X7",VIVO,vivo,PD1602,WETEST-KX-DEVICE-SERVER001,,121.35.103.224,"2021-03-03 16:24:15",,NULL
2419,ZY322DJDTV,359565080505976,TKMB180600MJ,XT1799-2,MOTOROLA,motorola,montana_retcn_n,WETEST-KX-DEVICE-SERVER009,,183.14.132.150,"2021-03-17 01:32:52",,NULL
2420,FDGNW17214003888,864230037545348,TKMB1702027F,NEM-AL10,HONOR,HUAWEI,NEM-AL10,WETEST-KX-DEVICE-SERVER039,,121.35.103.14,"2021-03-17 10:43:31",,NULL
2422,WFF0216C01004602,863337031767447,TKMB180306S8,FRD-AL10,HONOR,HUAWEI,FRD-AL10,WETEST-KX-DEVICE-SERVER053,,183.14.28.153,"2021-03-16 04:53:20",,NULL
2424,SJE0218104002473,867960030394685,TKMB180900JP,VTR-AL00,HUAWEI,HUAWEI,VTR-AL00,WETEST-KX-DEVICE-SERVER035,,183.14.132.171,"2021-03-17 01:10:06",,NULL
2425,e481d058,864534037877332,TKMB17040275,"VIVO X9I",VIVO,vivo,PD1624,WETEST-KX-DEVICE-SERVER028,,121.35.103.79,"2021-03-16 16:16:42",,NULL
2426,BQRSQ8SG5DVG7HSC,866840039753597,TKMB180303H3,"VIVO Y67A",VIVO,vivo,PD1612,WETEST-KX-DEVICE-SERVER039,,183.14.31.182,"2021-03-16 12:53:44",,NULL
2429,GDB6R19823009964,862406040832251,TKMB190900TP,HLK-AL00,HONOR,HUAWEI,HLK-AL00,WETEST-KX-DEVICE-SERVER061,,121.35.103.14,"2021-03-16 19:20:21",,NULL
2430,666bd0ac,864534031450607,TKMB170602H5,"VIVO X9I",VIVO,vivo,PD1624,WETEST-KX-DEVICE-SERVER039,,183.14.132.152,"2021-03-17 01:51:11",,NULL
2431,f0edbe2c,861247038603374,TKMB170303H8,"VIVO X6S A",VIVO,vivo,PD1415BA,WETEST-KX-DEVICE-SERVER039,,183.14.132.152,"2021-03-16 23:46:11",,NULL
2432,611AKCPL255FH,863726034364568,TKMB180300H3,M5,MEIZU,Meizu,meizu_M5,WETEST-KX-DEVICE-SERVER040,,121.35.103.14,"2021-03-16 18:47:40",,NULL
2433,c66bdc6e,866177036905213,TKMB17080226,"OPPO R11",OPPO,OPPO,R11,WETEST-KX-DEVICE-SERVER035,,183.14.28.72,"2020-10-23 17:00:02",,NULL
2434,B7EDU17C16005185,867831032792160,TKMB180301ES,BAC-AL00,HUAWEI,HUAWEI,BAC-AL00,WETEST-KX-DEVICE-SERVER035,,121.35.103.251,"2021-03-16 10:31:32",,NULL
2435,fdb568bf,356645090359409,TKMB1807025W,SM-A6050,SAMSUNG,samsung,a6pltezc,WETEST-KX-DEVICE-SERVER001,,183.14.132.158,"2021-03-16 19:53:23",,NULL
2437,RJC5T17724009337,866273034530523,TKMB180600NE,PIC-AL00,HUAWEI,HUAWEI,PIC-AL00,WETEST-KX-DEVICE-SERVER034,,183.14.135.235,"2021-02-25 10:46:22",,NULL
2439,V8MNBAQOQ8GQDQSO,866840039137833,TKMB1803048F,"VIVO Y67A",VIVO,vivo,PD1612,WETEST-KX-DEVICE-SERVER039,,183.14.132.158,"2021-03-16 15:53:58",,NULL
2440,ERLDU19723011425,865825048400489,TKMB1909017W,YAL-AL10,HONOR,HUAWEI,YAL-AL10,WETEST-KX-DEVICE-SERVER014,,121.35.101.176,"2021-03-16 15:29:45",,NULL
2442,ab1e2b63,A000007E3EA89F,TKMB171103KK,"VIVO Y66",VIVO,vivo,PD1621,WETEST-KX-DEVICE-SERVER004,,121.35.102.134,"2021-03-17 05:26:58",,NULL
2443,KWG7N17118016361,864113039730516,TKMB17030230,EVA-AL10,HUAWEI,HUAWEI,EVA-AL10,WETEST-KX-DEVICE-SERVER027,,121.35.102.157,"2021-03-16 10:52:17",,NULL
2444,dd05c450,868133038902219,TKMB180601P5,"MI 6X",XIAOMI,Xiaomi,wayne,WETEST-KX-DEVICE-SERVER013,,183.14.28.53,"2021-03-03 11:05:43",,NULL
2446,29D0217614000184,863954033399860,TKMB180303FA,DUK-TL30,HONOR,HUAWEI,DUK-TL30,WETEST-KX-DEVICE-SERVER047,,121.35.103.14,"2021-03-16 18:45:55",,NULL
2448,3LG4C17320000638,863523035595823,TKMB1804026X,BLN-AL20,HONOR,HUAWEI,BLN-AL20,WETEST-KX-DEVICE-SERVER008,,121.35.103.251,"2021-03-16 12:05:40",,NULL
2449,UEU4C16C28011322,863982032570678,TKMB180306HK,BLN-AL10,HONOR,HUAWEI,BLN-AL10,WETEST-KX-DEVICE-SERVER015,,183.14.135.153,"2021-03-08 22:46:18",,NULL
2450,395a6a27,864736046660811,TKMB19050LPJ,"VIVO Z3X",VIVO,vivo,PD1730G,WETEST-KX-DEVICE-SERVER032,,121.35.101.28,"2020-11-29 20:26:25",,NULL
2451,c00ac237,862545034592486,TKMB170200S5,"VIVO V3MAX A",VIVO,vivo,PD1523,WETEST-KX-DEVICE-SERVER001,,183.14.132.171,"2021-03-16 16:26:56",,NULL
2453,EMMRZLEU8LZP6S7L,866414032721025,TKMB190200A4,"REDMI NOTE 4X",XIAOMI,Xiaomi,nikel,WETEST-KX-DEVICE-SERVER036,,183.14.132.152,"2021-03-17 05:15:25",,NULL
2455,721QECRK2VF3K,867085032939749,TKMB1806008Y,"M6 NOTE",MEIZU,Meizu,meizu_M6Note,WETEST-KX-DEVICE-SERVER027,,183.14.28.57,"2020-10-22 20:51:20",,NULL
2457,9PEA79LFNFMRH68L,864955049253156,TKMB190900GM,V1913A,VIVO,vivo,PD1913,WETEST-KX-DEVICE-SERVER011,,183.14.30.44,"2021-03-01 17:22:25",,NULL
2458,F8UDU15831001459,865586027769670,TKMB180307HH,PE-TL20,HUAWEI,HUAWEI,PE-TL20,WETEST-KX-DEVICE-SERVER008,,183.14.31.182,"2021-03-17 00:39:01",,NULL
2459,881QADSHERKP4,866774030365392,TKMB180600W4,15,MEIZU,Meizu,meizu_15_CN,WETEST-KX-DEVICE-SERVER003,,183.14.132.171,"2021-03-16 09:58:47",,NULL
2460,8DF6R17C29001363,867178033061892,TKMB1803075K,EDI-AL10,HUAWEI,HUAWEI,EDISON,WETEST-KX-DEVICE-SERVER039,,183.14.132.150,"2021-03-16 18:34:52",,NULL
2462,644faafb,864790035437004,TKMB1803065A,"VIVO Y66L",VIVO,vivo,PD1621,WETEST-KX-DEVICE-SERVER007,,183.14.132.147,"2021-03-16 19:33:02",,NULL
2463,b9ef2dea,866697039175035,TKMB1709017F,"VIVO Y66",VIVO,vivo,PD1621,WETEST-KX-DEVICE-SERVER004,,121.35.103.79,"2021-03-16 22:54:34",,NULL
2465,Q5S5T19621011976,863872049298407,TKMB190902ET,ELE-AL00,HUAWEI,HUAWEI,ELE-AL00,WETEST-KX-DEVICE-SERVER002,,183.14.132.150,"2021-03-17 10:03:45",,NULL
2466,368f68cc,867701037853632,TKMB180400W3,"VIVO X20PLUS A",VIVO,vivo,PD1710,WETEST-KX-DEVICE-SERVER061,,121.35.102.157,"2021-03-16 09:54:55",,NULL
2468,CJL5T16B15011322,863336039586304,TKMB17090169,"HUAWEI NXT-AL10",HUAWEI,HUAWEI,NXT-AL10,WETEST-KX-DEVICE-SERVER047,,183.14.134.129,"2020-12-15 11:34:37",,NULL
2469,dd74e22e,868144034237492,TKMB180402AA,"MIX 2S",XIAOMI,Xiaomi,polaris,WETEST-KX-DEVICE-SERVER040,,183.14.132.159,"2021-03-16 10:16:34",,NULL
2470,3LGDU17309005601,863523033755585,TKMB180306H3,BLN-AL20,HONOR,HUAWEI,BLN-AL20,WETEST-KX-DEVICE-SERVER062,,183.14.31.182,"2021-03-16 04:21:17",,NULL
2473,GBG0219701006557,null,TKMB190900J7,ELE-AL00,HUAWEI,HUAWEI,ELE-AL00,WETEST-KX-DEVICE-SERVER032,,183.14.132.150,"2021-03-17 06:37:25",,NULL
2474,65QGYTPR99999999,862471031885718,TKMB1802010H,"OPPO R9M",OPPO,OPPO,R9m,WETEST-KX-DEVICE-SERVER062,,183.14.30.222,"2021-02-01 18:29:04",,NULL
2477,34ca2183,865393030455185,TKMB180900E7,"REDMI NOTE 5A",XIAOMI,Xiaomi,ugglite,WETEST-KX-DEVICE-SERVER048,,121.35.102.157,"2021-03-16 15:01:21",,NULL
2479,6EB0217407003594,864618033100961,TKMB1704029H,DUK-AL20,HONOR,HUAWEI,DUK-AL20,WETEST-KX-DEVICE-SERVER046,,183.14.132.158,"2021-03-16 23:40:25",,NULL
2481,2268a9c6,861617038438502,TKMB17060292,"VIVO X6S A",VIVO,vivo,PD1415BA,WETEST-KX-DEVICE-SERVER040,,121.35.101.149,"2021-03-16 18:52:02",,NULL
2482,621QACQQ25A5E,865465037141313,TKMB170602KA,"M5 NOTE",MEIZU,Meizu,"meizu_M5 Note",WETEST-KX-DEVICE-SERVER028,,121.35.101.124,"2020-11-11 19:12:39",,NULL
2488,6693cac0,866913039675159,TKMB18010443,"OPPO R11 PLUSK",OPPO,OPPO,R11Plusk,WETEST-KX-DEVICE-SERVER024,,121.35.101.167,"2020-11-05 19:25:46",,NULL
2489,YDSGKV6TR4WSBIWK,861362047199197,TKMB190900GP,V1913A,VIVO,vivo,PD1913,WETEST-KX-DEVICE-SERVER004,,121.35.102.157,"2021-03-17 09:20:56",,NULL
2492,D1CGAPE721015977,355457084686792,TKMB17020211,TA-1000,NOKIA,"HMD Global Oy",TA-1000_00CN,WETEST-KX-DEVICE-SERVER009,,121.35.103.14,"2021-03-17 11:15:43",,NULL
2493,c16cda0d,867392030123403,TKMB1801042H,"MI NOTE 3",XIAOMI,Xiaomi,jason,WETEST-KX-DEVICE-SERVER010,,183.14.132.158,"2021-03-16 20:47:23",,NULL
2494,5LM0216929003705,863336032207254,TKMB170304K9,"HUAWEI NXT-AL10",HUAWEI,HUAWEI,NXT-AL10,WETEST-KX-DEVICE-SERVER047,,121.35.100.191,"2021-03-15 13:31:48",,NULL
2495,a438c6f9,862545034648627,TKMB17020167,"VIVO V3MAX A",VIVO,vivo,PD1523,WETEST-KX-DEVICE-SERVER028,,183.14.132.152,"2021-03-17 09:47:28",,NULL
2496,58Y5T17425000600,862791036683614,TKMB190701JX,VTR-AL00,HUAWEI,HUAWEI,VTR-AL00,WETEST-KX-DEVICE-SERVER027,,183.14.132.171,"2021-03-16 17:37:30",,NULL
2498,C7R4C16623033316,861005030622416,TKMB1711049F,NEM-AL10,HONOR,HUAWEI,NEM-AL10,WETEST-KX-DEVICE-SERVER028,,183.14.132.148,"2021-03-16 11:24:35",,NULL
2500,XWERX19409004356,861099047673090,TKMB19040183,MRD-AL00,HUAWEI,HUAWEI,MRD-AL00,WETEST-KX-DEVICE-SERVER003,,183.14.132.53,"2021-03-15 19:32:18",,NULL
2501,N8K5T16C26017685,864229037870680,TKMB18100022,MHA-AL00,HUAWEI,HUAWEI,MHA-AL00,WETEST-KX-DEVICE-SERVER031,,121.35.103.14,"2021-03-17 05:47:37",,NULL
2502,DUPNW17822006743,865969038537486,TKMB18060239,PRA-AL00X,HONOR,HUAWEI,PRA-AL00X,WETEST-A6-DEVICE-SERVER001,,116.233.187.215,"2021-03-11 00:11:23",,NULL
2503,PFCIDU6HTGSG6DWK,869753036551251,TKMB180900WJ,"OPPO A83",OPPO,OPPO,A83,WETEST-KX-DEVICE-SERVER036,,121.35.100.61,"2020-11-15 06:17:21",,NULL
2504,K7ZSONHQ99999999,866840035537739,TKMB18010411,"VIVO Y67A",VIVO,vivo,PD1612,WETEST-KX-DEVICE-SERVER004,,121.35.103.251,"2021-03-16 22:28:08",,NULL
2505,FFK0217B08008430,867177038935373,TKMB171105H8,DUK-AL20,HONOR,HUAWEI,DUK-AL20,WETEST-KX-DEVICE-SERVER047,,183.14.132.159,"2021-03-17 11:17:24",,NULL
2509,32e93e0d,864164034616564,TKMB170202HH,"VIVO Y55A",VIVO,vivo,PD1613,WETEST-KX-DEVICE-SERVER062,,183.14.132.158,"2021-03-17 07:04:01",,NULL
2511,621QECQA43RV9,864883031451762,TKMB1703032K,"M5 NOTE",MEIZU,Meizu,"meizu_M5 Note",WETEST-KX-DEVICE-SERVER047,,183.14.132.201,"2020-09-28 04:26:36",,NULL
2513,445ac8f8,868061035193914,TKMB190801A1,"OPPO R11ST",OPPO,OPPO,R11st,WETEST-KX-DEVICE-SERVER025,,183.14.135.144,"2020-11-14 23:37:12",,NULL
2514,a4fdbebc,869765028131793,TKMB18030646,"VIVO XPLAY5A",VIVO,vivo,PD1522A,WETEST-KX-DEVICE-SERVER037,,183.14.28.94,"2021-03-16 18:58:04",,NULL
2515,3b5ecf1,A1000056753681,TKMB170202S3,"VIVO Y55A",VIVO,vivo,PD1613,WETEST-KX-DEVICE-SERVER001,,121.35.103.14,"2021-03-17 06:21:41",,NULL
2516,0ee60148,354910073723027,TKMB170303EA,SM-A8000,SAMSUNG,samsung,a8ltezc,WETEST-KX-DEVICE-SERVER047,,183.14.132.150,"2021-03-17 07:36:53",,NULL
2517,5LM0216114001079,860482032974346,TKMB170304A8,"HUAWEI NXT-AL10",HUAWEI,HUAWEI,NXT-AL10,WETEST-KX-DEVICE-SERVER009,,183.14.28.131,"2021-03-05 14:49:23",,NULL
2519,4YY4C17B18002655,864640031915869,TKMB18030341,WAS-AL00,HUAWEI,HUAWEI,WAS-AL00,WETEST-KX-DEVICE-SERVER031,,121.35.103.213,"2021-03-16 10:06:09",,NULL
2520,28e34a4a,868040034476868,TKMB180304S5,"VIVO Y55",VIVO,vivo,PD1613,WETEST-KX-DEVICE-SERVER008,,121.35.101.149,"2021-03-16 19:47:18",,NULL
2522,419d588d,862980038800405,TKMB17030256,"VIVO Y51A",VIVO,vivo,PD1510,WETEST-KX-DEVICE-SERVER006,,183.14.31.182,"2021-03-16 21:13:39",,NULL
2523,6EB0217710003152,866049033463746,TKMB1709021E,DUK-AL20,HONOR,HUAWEI,DUK-AL20,WETEST-KX-DEVICE-SERVER003,,121.35.102.134,"2021-03-16 19:30:09",,NULL
2524,69DDU16721003774,861958031020651,TKMB160902H7,KNT-AL10,HONOR,HUAWEI,KNT-AL10,WETEST-KX-DEVICE-SERVER011,,183.14.132.171,"2021-03-17 00:48:37",,NULL
2525,5LM7N16223000118,860797031793219,TKMB16038AE1,"HUAWEI NXT-AL10",HUAWEI,HUAWEI,NXT-AL10,WETEST-A6-DEVICE-SERVER001,,116.233.187.30,"2021-03-15 01:55:06",,NULL
2529,a5fd0158,864454036274904,TKMB180602P7,"MI 5S",XIAOMI,Xiaomi,capricorn,WETEST-A6-DEVICE-SERVER001,,114.84.65.58,"2021-03-17 01:42:49",,NULL
2530,6e240c8b,866280041059800,TKMB190701PJ,NX629J,NUBIA,nubia,NX629J,WETEST-KX-DEVICE-SERVER030,,183.14.132.148,"2021-03-17 00:56:08",,NULL
2532,LGH990b8d88d71,352165081229572,TKMB17100363,LG-H990,LGE,LGE,elsa_global_com,WETEST-KX-DEVICE-SERVER048,,183.14.133.21,"2021-03-16 19:24:58",,NULL
2534,3f6dde20,868512031967776,TKMB1803080S,"VIVO Y79A",VIVO,vivo,PD1708,WETEST-KX-DEVICE-SERVER062,,121.35.103.251,"2021-03-16 22:48:24",,NULL
2541,JB8PEI7L99999999,862231037970454,TKMB171104E2,"OPPO R9M",OPPO,OPPO,R9m,WETEST-KX-DEVICE-SERVER025,,183.14.132.147,"2021-03-17 07:53:45",,NULL
2542,Q5S5T19620013326,null,TKMB1909008E,ELE-AL00,HUAWEI,HUAWEI,ELE-AL00,WETEST-KX-DEVICE-SERVER035,,121.35.103.79,"2021-03-16 12:44:11",,NULL
2543,PNEMLB4999999999,A100005595235C,TKMB17030217,"VIVO V3M A",VIVO,vivo,PD1524B,WETEST-KX-DEVICE-SERVER061,,183.14.132.171,"2021-03-17 09:36:56",,NULL
2544,71789077,867701032492873,TKMB18060259,"VIVO X20PLUS A",VIVO,vivo,PD1710,WETEST-KX-DEVICE-SERVER047,,183.14.133.21,"2021-03-16 15:17:44",,NULL
2552,49f2c028,860131049286851,TKMB190901GG,V1911A,VIVO,vivo,PD1911,WETEST-KX-DEVICE-SERVER016,,121.35.101.106,"2021-02-19 00:44:16",,NULL
2555,4YY4C17B22000503,864640031910282,TKMB1803033S,WAS-AL00,HUAWEI,HUAWEI,WAS-AL00,WETEST-KX-DEVICE-SERVER008,,183.14.133.21,"2021-03-16 18:21:16",,NULL
2556,29DDU17327005694,863954030309888,TKMB18060011,DUK-TL30,HONOR,HUAWEI,DUK-TL30,WETEST-A6-DEVICE-SERVER008,,116.232.108.84,"2021-03-17 06:03:50",,NULL
2557,5ENDU19611001994,865595040042452,TKMB190900A8,PCT-AL10,HONOR,HUAWEI,PCT-AL10,WETEST-KX-DEVICE-SERVER042,,183.14.135.25,"2020-12-25 14:14:27",,NULL
2559,50813882,864269045734973,TKMB190900P0,V1914A,VIVO,vivo,PD1914,WETEST-KX-DEVICE-SERVER061,,121.35.101.171,"2021-02-18 08:18:17",,NULL
2560,45V469FUAUQGTGBU,868053037886231,TKMB180103FE,"OPPO A73",OPPO,OPPO,A73,WETEST-KX-DEVICE-SERVER023,,183.14.132.94,"2020-12-05 08:44:18",,NULL
2561,d72ca8a9,869499031385432,TKMB18070258,"VIVO NEX A",VIVO,vivo,PD1806,WETEST-KX-DEVICE-SERVER030,,183.14.132.159,"2021-03-17 11:04:56",,NULL
2562,WTK7N16921010095,862915039087057,TKMB180306H4,FRD-AL00,HONOR,HUAWEI,FRD-AL00,WETEST-KX-DEVICE-SERVER048,,183.14.31.158,"2021-02-27 08:00:27",,NULL
2564,98895a314941305330,354765082024332,TKMB1706025H,SM-G9500,SAMSUNG,samsung,dreamqltezc,WETEST-KX-DEVICE-SERVER006,,183.14.28.6,"2021-03-15 11:00:06",,NULL
2568,a18d33b1,869758043967093,TKMB190701PT,V1832A,VIVO,vivo,PD1832,WETEST-KX-DEVICE-SERVER006,,183.14.132.158,"2021-03-16 19:05:23",,NULL
2573,866fa192,864067049604774,TKMB1909010J,V1838A,VIVO,vivo,PD1838,WETEST-KX-DEVICE-SERVER061,,183.14.132.166,"2021-02-07 12:13:40",,NULL
2582,e1080787,869700036539539,TKMB190701WP,"VIVO Y85A",VIVO,vivo,PD1730,WETEST-KX-DEVICE-SERVER031,,183.14.132.147,"2021-03-17 03:48:25",,NULL
2583,N8K5T17503005060,865297037599533,TKMB19050J4T,MHA-AL00,HUAWEI,HUAWEI,MHA-AL00,WETEST-KX-DEVICE-SERVER061,,183.14.132.147,"2021-03-16 19:20:21",,NULL
2584,5JPDU18317001604,867439036773788,TKMB1910010P,STF-AL10,HONOR,HUAWEI,STF-AL10,WETEST-KX-DEVICE-SERVER038,,183.14.132.147,"2021-03-16 08:57:04",,NULL
2588,3DN7N16C12011567,863991034472130,TKMB1806009G,"HUAWEI VNS-AL00",HUAWEI,HUAWEI,VNS-AL00,WETEST-A6-DEVICE-SERVER006,,116.233.200.95,"2020-08-12 22:28:50",,NULL
2594,4790dcea,867168025132959,TKMB19050XEM,R7C,OPPO,OPPO,R7c,WETEST-A6-DEVICE-SERVER063,,116.232.109.227,"2021-03-17 11:10:34",,NULL
2598,641fc63f,860265038929947,TKMB16062094,R7PLUSM,OPPO,OPPO,R7Plusm,WETEST-A6-DEVICE-SERVER063,,116.233.185.247,"2021-02-23 23:19:03",,NULL
2599,RELBB19422500965,869592046550899,TKMB1907015J,ARS-AL00,HUAWEI,HUAWEI,ARS-AL00,WETEST-A6-DEVICE-SERVER073,,114.84.66.132,"2021-03-16 12:51:51",,NULL
2601,b62aca27,869707032105710,TKMB1912079T,"VIVO X21",VIVO,vivo,PD1728,WETEST-A6-DEVICE-SERVER079,,116.232.109.78,"2021-03-17 02:51:39",,NULL
2602,61c090b5,865921033595654,TKMB1806027J,"VIVO X9L",VIVO,vivo,PD1616,WETEST-A6-DEVICE-SERVER006,,116.233.185.244,"2021-01-25 20:31:14",,NULL
2604,B7EDU17C08017114,867831032291718,TKMB180600W0,BAC-AL00,HUAWEI,HUAWEI,BAC-AL00,WETEST-A6-DEVICE-SERVER067,,116.233.203.123,"2021-03-16 00:46:13",,NULL
2608,1b37d0e9,862532039120091,TKMB19120798,"OPPO R9ST",OPPO,OPPO,R9st,WETEST-A6-DEVICE-SERVER019,,114.84.64.112,"2021-03-16 09:40:50",,NULL
2612,98891433565957504e,358518080448714,TKMB19050XGY,SM-G9500,SAMSUNG,samsung,dreamqltezc,WETEST-A6-DEVICE-SERVER007,,116.231.27.170,"2021-03-17 11:03:03",,NULL
2613,b82ef2df,866666030481700,TKMB19050XJ1,"GIONEE F6L",GIONEE,GIONEE,F6L,WETEST-A6-DEVICE-SERVER064,,116.231.34.64,"2021-01-19 17:45:59",,NULL
2614,271bc8ee,868454034984773,TKMB190800RL,"VIVO X21UD A",VIVO,vivo,PD1728UD,WETEST-A6-DEVICE-SERVER067,,116.232.108.84,"2021-03-16 21:49:52",,NULL
2618,FDGNW17221013772,864230038310718,TKMB17030305,NEM-AL10,HONOR,HUAWEI,NEM-AL10,WETEST-A6-DEVICE-SERVER074,,116.231.27.159,"2020-09-29 10:02:23",,NULL
2622,c4daa043,359274071880262,TKMB1804026L,SM-J3119,SAMSUNG,samsung,j3xproltectc,WETEST-A6-DEVICE-SERVER063,,116.233.187.215,"2021-03-17 03:26:36",,NULL
2627,e8d90c57,866844035317894,TKMB18060208,"VIVO Y66L",VIVO,vivo,PD1621,WETEST-A6-DEVICE-SERVER008,,114.84.24.249,"2021-03-16 20:39:19",,NULL
2628,E4J7N17826003602,866568034212745,TKMB1804026J,BLN-AL40,HONOR,HUAWEI,BLN-AL40,WETEST-A6-DEVICE-SERVER059,,116.231.35.60,"2021-03-16 08:33:01",,NULL
2629,29a8d1970704,866399035222644,TKMB190400LP,"REDMI 5 PLUS",XIAOMI,Xiaomi,vince,WETEST-A6-DEVIVE-SERVER022,,116.233.187.30,"2021-03-17 01:35:13",,NULL
2633,HEE6R15B30000191,866960027373560,TKMB1603A4S1,"HUAWEI P8MAX",HUAWEI,HUAWEI,DAV-703L,WETEST-A6-DEVICE-SERVER061,,116.233.185.55,"2021-03-15 23:09:32",,NULL
2634,3SC7N16A18001050,863295031004270,TKMB17010172,VIE-AL10,HUAWEI,HUAWEI,VIE-AL10,WETEST-A6-DEVICE-SERVER052,,116.232.109.78,"2021-03-16 08:17:25",,NULL
2636,04157df40dd4ee32,358108063530082,TKMB1803078K,SM-G9200,SAMSUNG,samsung,zerofltezc,WETEST-A6-DEVICE-SERVER020,,116.231.27.159,"2020-12-04 15:16:03",,NULL
2639,a20edecd,867352029976161,TKMB1603A728,A51,OPPO,OPPO,A51,WETEST-A6-DEVICE-SERVER064,,116.231.27.170,"2021-03-16 12:55:11",,NULL
2645,2a2ed62,866092029850013,TKMB19050XRJ,"VIVO X5MAX L",VIVO,vivo,msm8916_32,WETEST-A6-DEVICE-SERVER055,,114.84.57.163,"2020-06-04 18:56:39",,NULL
2651,e2339c74,359454073322196,TKMB180600RG,SM-J3110,SAMSUNG,samsung,j3xproltezc,WETEST-A6-DEVICE-SERVER051,,114.84.65.58,"2021-03-17 03:14:02",,NULL
2652,29809943,863970036797058,TKMB180600T9,"VIVO Y53",VIVO,vivo,PD1628,WETEST-A6-DEVICE-SERVER008,,116.231.34.64,"2021-03-17 00:09:52",,NULL
2655,851QFDSH2223X,866906031221022,TKMB18090169,"MEIZU E3",MEIZU,Meizu,MeizuE3_CN,WETEST-A6-DEVICE-SERVER036,,116.232.108.84,"2021-03-16 18:12:47",,NULL
2656,JR9TJVIN75U45DUG,869805024859193,TKMB15129K22,"OPPO R7S",OPPO,OPPO,R7s,WETEST-A6-DEVICE-SERVER054,,116.233.207.131,"2020-09-21 16:05:28",,NULL
2659,5JP0218312000790,867439036861716,TKMB1804022T,STF-AL10,HONOR,HUAWEI,STF-AL10,WETEST-A6-DEVICE-SERVER036,,114.84.66.132,"2021-03-16 19:20:09",,NULL
2660,c461cc21,357107070922424,TKMB19050XG2,SM-J5108,SAMSUNG,samsung,j5xltezm,WETEST-A6-DEVICE-SERVER054,,116.233.186.195,"2021-03-16 08:53:21",,NULL
2662,984d4a77,A000006255D25C,TKMB1806002X,"OPPO R9 PLUSM A",OPPO,OPPO,R9PlusmA,WETEST-A6-DEVICE-SERVER080,,116.233.187.30,"2020-12-26 04:22:34",,NULL
2663,PJQDU16603006231,861613034580223,TKMB1606209F,"HUAWEI RIO-AL00",HUAWEI,HUAWEI,RIO-AL00,WETEST-A6-DEVICE-SERVER049,,116.232.108.84,"2021-03-16 10:48:12",,NULL
2664,PBV0217112004643,864361033672354,TKMB18030094,EVA-AL00,HUAWEI,HUAWEI,EVA-AL00,WETEST-A6-DEVICE-SERVER006,,116.233.187.215,"2021-03-16 15:02:21",,NULL
2666,6963c8e7,866193036372734,TKMB18010439,"OPPO R11 PLUSKT",OPPO,OPPO,R11Pluskt,WETEST-B2-DEVICE-SERVER012,,NULL,"2020-03-29 10:23:32",,NULL
2667,58de4d52,868717037775137,TKMB18040232,"ONEPLUS A5010",ONEPLUS,OnePlus,OnePlus5T,WETEST-A6-DEVICE-SERVER055,,116.231.35.60,"2021-03-16 14:42:05",,NULL
2670,G2W7N15930003260,a0000055e703db,TKMB160618F6,"HUAWEI MT7-CL00",HUAWEI,HUAWEI,MT7-CL00,WETEST-A6-DEVICE-SERVER010,,116.231.28.149,"2021-02-02 16:00:25",,NULL
2677,bf44ac2a,860440049705434,TKMB19120127,PAAT00,OPPO,OPPO,PAAT00,WETEST-A6-DEVICE-SERVER065,,116.233.187.215,"2021-03-16 09:03:05",,NULL
2680,7CSNW18109005868,865831035840018,TKMB18060211,FIG-AL00,HUAWEI,HUAWEI,FIG-AL00,WETEST-A6-DEVICE-SERVER052,,116.231.28.149,"2021-03-16 13:22:00",,NULL
2682,ae364d6a,866445036100477,TKMB180300H9,"VIVO X9S PLUS",VIVO,vivo,PD1635,WETEST-A6-DEVICE-SERVER046,,114.84.24.249,"2020-11-23 15:37:33",,NULL
2684,EJLDU16723006131,861331033940906,TKMB190701FP,"HUAWEI MLA-AL10",HUAWEI,HUAWEI,MLA-AL10,WETEST-A6-DEVICE-SERVER073,,116.233.187.215,"2021-03-17 01:45:17",,NULL
