assetid,assetname
TKMB180600TN,A37M （2GB+16GB全网通4G手机 双卡双待/颜色随机）
TKMB180600GR,Y55（2GB+16GB 全网通4G 双卡双待 颜色随机）
TKMB180600NY,锤子 坚果 Pro 2 碳黑色(细红线版) 4+32GB 全网通 移动联通电信4G手机 双卡双待(5571011)
TKMB180600ME,A73 高配版 全面屏拍照手机 4GB+64GB 香槟色 全网通 移动联通电信4G 双卡双待手机(6389385)
TKMB1806011W,华为 HUAWEI P10 Plus 6GB+64GB 曜石黑 移动联通电信4G手机 双卡双待(4483072)
TKMB18060117,T8 美颜自拍 全网通4G智能手机 4G+128G 玫瑰金(11340636927)
TKMB180600GF,X20 （4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB180600JL,三星 Galaxy S9+(SM-G9650/DS)6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待(6405876)
TKMB180600M5,A73 高配版 全面屏拍照手机 4GB+64GB 香槟色 全网通 移动联通电信4G 双卡双待手机(6389385)
TKMB180600RG,Galaxy J3 PRO（2G+16G电信4G双卡/颜色随机）
TKMB1806010G,华为畅享8 全面屏三卡槽 3GB+32GB 金色 全网通版 移动联通电信4G手机 双卡双待(6755970)
TKMB180600NN,荣耀V9 Play 手机 全网通4G 双卡双待 铂光金(4G+32G)(16297121279)
TKMB180600M8,A73 全面屏拍照手机 4GB+32GB 黑色 全网通 移动联通电信4G 双卡双待手机？(5940692)
TKMB180600N9,华为 HUAWEI 麦芒 6 全网通 4GB+64GB版 曜石黑 移动联通电信4G手机 双卡双待(5148371)
TKMB180600NE,华为 HUAWEI nova 2 4GB+64GB 曜石黑 移动联通电信4G手机 双卡双待(4154589)
TKMB180600MM,A73 全面屏拍照手机 4GB+32GB 黑色 全网通 移动联通电信4G 双卡双待手机？(5940692)
TKMB180600MJ,摩托罗拉 Moto 青柚 4G+32G 炫酷黑 移动联通电信4G手机 双卡双待(5617674)
TKMB1806012A,华为 HUAWEI nova 2S 全面屏四摄 6GB +128GB 曜石黑 移动联通电信4G手机 双卡双待(6199890)
TKMB180600M6,华为 HUAWEI nova 青春版 4GB+64GB 珍珠白 移动联通电信4G手机 双卡双待(5544080)
TKMB18060101,小米5X 美颜双摄拍照手机 4GB+64GB 金色 全网通4G手机 双卡双待(4554969)
TKMB180600X2,A37M （2GB+16GB全网通4G手机 双卡双待/颜色随机）
TKMB180600Y2,三星 Galaxy S9(SM-G9600/DS)4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待(6577511)
TKMB180600G5,X20 （4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB180600Y1,三星 Galaxy S9(SM-G9600/DS)4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待(6577511)
TKMB180600NF,华为 HUAWEI 麦芒 6 全网通 4GB+64GB版 曜石黑 移动联通电信4G手机 双卡双待(5148371)
TKMB18060124,T8 美颜自拍 全网通4G智能手机 4G+128G 玫瑰金(11340636927)
TKMB180600TY,A37M （2GB+16GB全网通4G手机 双卡双待/颜色随机）
TKMB180600P4,A910 移动4G智能手机  NFC版 铂雅银(17870880557)
TKMB180600X3,A37M （2GB+16GB全网通4G手机 双卡双待/颜色随机）
TKMB1806010J,M2青春版 移动联通电信 全网通4G智能手机 双卡双待 香槟金 (4G RAM+32G ROM)(16049071525)
TKMB180600GP,Y55（2GB+16GB 全网通4G 双卡双待 颜色随机）
TKMB180600RY,R9 PLUSTM A（4GB+64GB 移动定制版全网4G/颜色随机)
TKMB180600P2,三星 Galaxy S8+(SM-G9550)4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待(4938584)
TKMB180600RL,畅享6（2G+16G全网通 颜色随机)
TKMB180600G6,X20 （4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB180600EW,P9 Plus（VIE-AL10/ 4+64G/全网通 颜色随机）
TKMB1806002R,x20 plus(全网通/4GB+64GB/颜色随机)
TKMB180600YY,荣耀10 全面屏AI摄影手机 6GB+64GB 幻夜黑 全网通 移动联通电信4G 双卡双待(7348367)
TKMB1806001N,R9（移动联通电信4G/双卡双待/4GB RAM/64GB/颜色随机）
TKMB18060001,R7s（全网通/TD-LTE/FDD-LTE/4GB RAM/32G/颜色随机）
TKMB1806001L,X7 Plus（移动联通电信4G/RAM 4GB/ROM 64G/颜色随机）
TKMB1806000X,R11S（6GB+128GB 全网通4G 双卡双待/颜色随机）
TKMB1806000E,A57 （3GB+32GB全网通4G 双卡双待/颜色随机）
TKMB18060009,X9s L（4GB+64GB 移动定制版全网通4G手机 双卡双待 颜色随机）
TKMB180501N4,R11（4GB+64GB 全网通4G 双卡双待/颜色随机）
TKMB180501MN,X9PLUS（4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB1806001F,A57 （3GB+32GB全网通4G 双卡双待/颜色随机）
TKMB18060017,R9S(6GB+64GB 移动定制全网4G/颜色随机)
TKMB18060011,荣耀V9(移动全网通定制/6GB+64GB/颜色随机)
TKMB1806002X,R9plus（全网通移动联通电信4G/RAM 4GB/ROM 64G/颜色随机）
TKMB18060025,X9 （全网通/4GB+64GB/移动联通电信4G手机/双卡双待/颜色随机）
TKMB180501M2,A33(移动4G/2GB RAM/16G/颜色随机)
TKMB1806008W,魅族 15 全面屏手机 全网通公开版 4GB+64GB 砚黑 移动联通电信4G手机 双卡双待(7012230)
TKMB18060048,红米5 Plus（4+64G/全网通/颜色随机）
TKMB1806002J,5T（A5010）（移动联通电信4G/6GB+64GB/颜色随机）
TKMB18060041,Y55（2GB+16GB 全网通4G 双卡双待 颜色随机）
TKMB180501LM,A83 （全网通/RAM 4G+ROM 32G/双卡双待/颜色随机）
TKMB180501RP,Y67（4GB+32GB全网通4G 颜色随机)
TKMB1806003L,红米Note5A（移动联通电信4G/2GB+16GB/双卡双待/颜色随机）
TKMB180501M9,Y75A(4GB+32GB全网通主副卡可自由切换 颜色随机）
TKMB1805014J,Y66I A（3G+32G全网通4G 颜色随机）
TKMB1805017N,Y67L （4G+32G移动定制全网通版 颜色随机)
TKMB180501L6,华为 Mate 9 Pro 6GB+128GB版 琥珀金 移动联通电信4G手机 双卡双待(3749093)
TKMB180501L9,Meitu 美图M8s(MP1709)Hello Kitty 限量版 自拍美颜 全网通 移动联通电信4G手机(5378695)
TKMB180501L0,Meitu 美图M8s(MP1709)Hello Kitty 限量版 自拍美颜 全网通 移动联通电信4G手机(5378695)
TKMB180501L1,Xplay6 全网通6GB+64GB 移动联通电信4G手机 双卡双待 磨砂黑(12858797392)
TKMB180501L3,Xplay6 全网通6GB+64GB 移动联通电信4G手机 双卡双待 磨砂黑(12858797392)
TKMB180501Y1,X21 全面屏 双摄美颜拍照手机 6GB+128GB 极光白 移动联通电信全网通4G手机 双卡双待(6494556)
TKMB180501LW,三星 Galaxy S8(SM-G9500)4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待(4120319)
TKMB1805015W,Y75A(4GB+32GB全网通主副卡可自由切换 颜色随机）
TKMB1805014M,Y66I A（3G+32G全网通4G 颜色随机）
TKMB180501J4,X20 王者荣耀限量版 双摄美颜游戏手机 6GB+64GB 移动联通电信全网通4G手机 双卡双待(5437633)
TKMB1805018P,华为 HUAWEI P20 Pro 全面屏徕卡三摄 6GB +128GB 宝石蓝 全网通版 移动联通电信4G手机 双卡双待(6946629)
TKMB180300A0,小米 红米Note5A 全网通版 4GB+64GB 铂银灰 移动联通电信4G手机 双卡双待(5114929)
TKMB1803005S,魅族 魅蓝 Note6 4GB+64GB 全网通公开版 孔雀青 移动联通电信4G手机 双卡双待(5148521)
TKMB1803009F,华为 HUAWEI P10 Plus 6GB+64GB 钻雕蓝 移动联通电信4G手机 双卡双待(3893487)
TKMB1803035F,华为 HUAWEI nova 青春版 4GB+64GB 樱语粉 移动联通电信4G手机 双卡双待(3893501)
TKMB18030063,小米 红米4A 2+16GB 深空灰 全网通版(12553694715)
TKMB180400NA,X20 全面屏双摄拍照手机 4GB+64GB 磨砂黑 移动联通电信全网通4G手机 双卡双待(5025991)
TKMB180300E1,小米 红米4A 2+16GB 深空灰 全网通版(12553694715)
TKMB1803018S,R9（移动联通电信4G/双卡双待/4GB RAM/64GB/颜色随机）
TKMB1804022W,GALAXY J5(J5008)移动4G智能老人机手机 金 色 (1.5G+16G)(13011704982)
TKMB180402AE,小米 MIX2S（移动联通电信4G/6GB+128GB/黑色）
TKMB180300F0,华为 HUAWEI P10 Plus 6GB+64GB 曜石黑 移动联通电信4G手机 双卡双待(4483072)
TKMB180300SF,魅族 魅蓝Note5 全网通版 月光银  4GRAM+64GROM(11285834017)
TKMB180300S0,Meitu 美图M8(MP1611)64GB 魅影红 自拍美颜 全网通 移动联通电信4G手机(4403047)
TKMB1803044A,手机5T 6GB+64GB 星辰黑 高性能全面屏双摄手机 全网通4G 双卡双待(5716985)
TKMB18050036,R11s 全面屏双摄拍照手机 4GB+64GB 黑色 全网通 移动联通电信4G 双卡双待手机(5425721)
TKMB18030540,X21(移动联通电信4G/6GB+128GB/颜色随机)
TKMB180300A8,小米 Note2 全网通4G 移动联通电信全网通4G智能手机 亮黑色 4+64GB(12481321553)
TKMB18030095,魅族 PRO 7 Plus 6GB+64GB 全网通公开版 倚霞金 移动联通电信4G手机 双卡双待(4560455)
TKMB180402FL,X9 （全网通/4GB+64GB/移动联通电信4G手机/双卡双待/颜色随机）
TKMB1803006K,小米 红米4A 2+16GB 深空灰 全网通版(12553694715)
TKMB180300A9,华为 nova 移动联通电信 智能手机 双卡双待 玫瑰金 全网通4G(4G RAM+64G ROM)(11356807693)
TKMB180300A6,小米 红米Note4X 全网通版 3GB+32GB 磨砂黑 移动联通电信4G手机(4390096)
TKMB180300E0,锤子 坚果 Pro 2 碳黑色(细红线版) 4+64GB 全网通 移动联通电信4G手机 双卡双待(5734978)
TKMB1803023F,A59s（全网通）(TD-LTE/FDD-LTE/32GB/颜色随机)
TKMB1803019E,A77(移动联通电信4G/RAM 3G+ROM 32G/颜色随机)
TKMB180300E9,荣耀9 全网通4G智能手机 双卡双待 幻夜黑 全网通高配版(6GB+64GB)(14937918636)
TKMB180300SE,荣耀8青春版 全网通4G智能手机 双卡双待 幻夜黑 全网通标配版(3G+32G)(11452942523)
TKMB1804022T,荣耀9 全网通 尊享版 6GB+128GB 魅海蓝 移动联通电信4G手机 双卡双待(5181386)
TKMB180300F5,荣耀 畅玩7X 4GB+64GB 全网通4G全面屏手机 高配版 铂光金(5663898)
TKMB18030505,华为 P9 全网通 3GB+32GB版 流光金 移动联通电信4G手机 双卡双待(2600210)
TKMB1803009H,小米 红米 4X 全网通版 3GB+32GB 香槟金 移动联通电信4G手机(4510572)
TKMB180301H6,华为 HUAWEI P10 全网通 4GB+64GB 曜石黑 移动联通电信4G手机 双卡双待(4483094)
TKMB180300F9,荣耀 畅玩7X 4GB+64GB 全网通4G全面屏手机 高配版 铂光金(5663898)
TKMB171102E1,小米Max2 大屏手机 4GB+64GB 黑色 全网通4G手机 双卡双待(5159272)
TKMB1803008S,荣耀 畅玩5C 全网通4G智能手机 双卡双待 太空银 全网通高配版(3G+32G)(11373000374)
TKMB18050201,Y923（1G+8G电信4G/自行采购）
TKMB18040232,5T（A5010）（移动联通电信4G/6GB+64GB/颜色随机）
TKMB1804026L,Galaxy J3 PRO（2G+16G电信4G双卡/颜色随机）
TKMB18040226,华为 nova 青春版 4GB+64GB版 移动4G+版 魅海蓝 移动联通电信4G手机 双卡双待(4843515)
TKMB180300H3,魅蓝5 全网通  双卡双待  移动联通电信4G智能手机 金色 3+32GB(11031597244)
TKMB18040242,A79 （4GB+64GB 全网通4G 双卡双待/颜色随机）
TKMB18040243,Y53（2GB+16GB 全网通4G 双卡双待 颜色随机）
TKMB180402R0,Y66L（3GB+32GB移动全网通 颜色随机）
TKMB1804026A,R9 PLUSTM A（4GB+64GB 移动定制版全网4G/颜色随机)
TKMB18040220,Xperia XZ Premium XZp 移动联通双4G 手机 炫黑 4G+64G(12481158400)
TKMB18040225,小米 红米4A 2+16GB 香槟金  全网通版(11456152267)
TKMB180402RA,X9s plus L（4GB+64GB 移动定制版全网通4G手机 双卡双待 颜色随机）
TKMB180402R1,X9s L（4GB+64GB 移动定制版全网通4G手机 双卡双待 颜色随机）
TKMB18040244,Y66I A（3G+32G全网通4G 颜色随机）
TKMB180300KA,Z17mini 雅黑色 移动联通电信4G手机 双卡双待(4746262)
TKMB18030094,P9 全网通4G手机 移动联通电信4G智能手机 流光金( 3G RAM+32G ROM)(11241649023)
TKMB1804021J,Galaxy On7(G6000)全网通4G 智能老人机手机 金色16G 16G(13018850609)
TKMB180402E8,荣耀6 (2G+16G移动版 颜色随机）
TKMB18040223,P9 全网通4G手机 移动联通电信4G智能手机 钛银灰( 3G RAM+32G ROM)(11241649022)
TKMB1804021R,三星 Galaxy Note8(SM-N9500)6GB+128GB 芭比粉 移动联通电信4G手机 双卡双待(5438529)
TKMB1804021P,荣耀畅玩7C 全面屏手机 全网通标配版 3GB+32GB 幻夜黑 移动联通电信4G手机 双卡双待(6558984)
TKMB1804026J,荣耀 畅玩6X（BLN-AL10/RAM 4GB/ ROM 64GB/颜色随机）
TKMB18040018,R11s Plus 全面屏双摄拍照手机 6GB+64GB 黑色 全网通 移动联通电信4G 双卡双待手机(5762407)
TKMB18030195,米5（全网通移动联通电信版/3GB RAM/32G/标准版/颜色随机）
TKMB180300AE,魅族 PRO 6 Plus 4GB+64GB 公开版 深空灰 移动联通4G手机 双卡双待(3728969)
TKMB1804026R,nova 2 Plus （4G+64G移动定制版 颜色随机)
TKMB180300H5,Galaxy J3 J3300 全网通4G 智能老人机手机 雪夜黑 (3G+32G)(13018555500)
TKMB180300H9,X9s Plus 全网通 美颜拍照手机 4GB+64GB 磨砂黑 移动联通电信4G手机 双卡双待(4441415)
TKMB1804021W,华为 HUAWEI 畅享7S 全面屏双摄 4GB +64GB 金色 移动联通电信4G手机 双卡双待(6001239)
TKMB18030367,华为畅享7 Plus 3GB+32GB 香槟金 移动联通电信4G手机 双卡双待(4093553)
TKMB180301A6,红米5（移动联通电信4G/3G RAM+32G ROM/颜色随机）
TKMB1804023F,X9PLUS L（4GB+64GB 移动定制版全网通4G手机 双卡双待 颜色随机）
TKMB18040217,三星 Galaxy S9(SM-G9600/DS)4GB+128GB 莱茵蓝 移动联通电信4G手机 双卡双待(6405920)
TKMB180300HH,华为荣耀平板2 通话平板 8英寸 (八核 3G/32G 1920x1200 4800mAh LTE) 香槟金(4157945)
TKMB180301A1,Galaxy S6 Edge+（G9280）（移动联通电信4G手机/4GB+32GB/颜色随机）
TKMB180402RX,Y67L （4G+32G移动定制全网通版 颜色随机)
TKMB1804023R,GALAXY C9 Pro（C9000/全网通）(TD-LTE/FDD-LTE/64GB/颜色随机)
TKMB180402RY,小米6 全网通 6GB+64GB 移动联通电信4G手机 双卡双待
TKMB1804022X,魅族 魅蓝Max 3GB+64GB 全网通公开版 银色 移动联通电信4G手机 双卡双待(3602644)
TKMB1804023N,Y79（4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB180300AH,华为 Mate 9 Pro 6GB+128GB版 银钻灰 移动联通电信4G手机 双卡双待(3749095)
TKMB180300K4,R11 Plusk 全网通4G 双卡双待手机 黑色 全网通(6G RAM+64G ROM)标配(15647761713)
TKMB1804022A,锤子 坚果 Pro 2 碳黑色(细红线版) 6+128GB 全网通 移动联通电信4G手机 双卡双待(5571009)
TKMB18040271,荣耀V8（KNT-AL20/高配版/全网通/4G+64G/颜色随机）
TKMB180300HK,锤子 坚果 Pro 2 碳黑色(细红线版) 6+128GB 全网通 移动联通电信4G手机 双卡双待(5571009)
TKMB180300H1,BA603 全网通4G智能手机 夜空黑(11701272435)
TKMB180300K3,荣耀畅玩6X  移动联通电信 全网通4G  双卡双待 智能手机 铂光金 高配版(4GB RAM+32GB ROM)(11339519481)
TKMB18040241,A73T （4GB+32GB移动定制全网通 双卡双待/颜色随机）
TKMB1805000A,小米Max2 大屏手机 4GB+64GB 黑色 全网通4G手机 双卡双待(5159272)
TKMB1804026X,荣耀 畅玩6X（BLN-AL10/RAM 4GB/ ROM 64GB/颜色随机）
TKMB180402AM,小米 MIX2S（移动联通电信4G/6GB+128GB/黑色）
TKMB180402AF,小米 MIX2S（移动联通电信4G/6GB+128GB/黑色）
TKMB180402P3,小米 MIX2S（移动联通电信4G/6GB+128GB/黑色）
TKMB180402AA,小米 MIX2S（移动联通电信4G/6GB+128GB/黑色）
TKMB180402P8,小米 MIX2S（移动联通电信4G/6GB+128GB/黑色）
TKMB180401TF,Y67 全网通（4GB+64GB/全网通/双卡双待/颜色随机)
TKMB180401GT,荣耀6plus (3G+16G移动4G 颜色随机)
TKMB180401T0,荣耀8（4GB+64GB全网通版/颜色随机）
TKMB180401N4,华为 HUAWEI P20  AI智慧全面屏 6GB +64GB 亮黑色 全网通版 移动联通电信4G手机 双卡双待(6946605)
TKMB180401GF,R9 PLUSTM A（4GB+64GB 移动定制版全网4G/颜色随机)
TKMB1803072A,R9 （4GB+64GB 全网通4G/颜色随机）
TKMB180401X8,X9L移动定制版（4G+64G 颜色随机）
TKMB18030715,Mate 8(3GB+32GB全网通 颜色随机)
TKMB180401TY,X9L移动定制版（4G+64G 颜色随机）
TKMB1804020E,华为 HUAWEI P20 Pro 全面屏徕卡三摄 6GB +64GB 亮黑色 全网通版 移动联通电信4G手机 双卡双待(6946621)
TKMB180401TJ,X9L移动定制版（4G+64G 颜色随机）
TKMB18040025,R11s 全面屏双摄拍照手机 4GB+64GB 香槟色 全网通 移动联通电信4G 双卡双待手机(5638334)
TKMB180306H1,X9L移动定制版（4G+64G 颜色随机）
TKMB18030697,R9 （4GB+64GB 全网通4G/颜色随机）
TKMB180306A5,A59s （4GB+32GB移动定制全网通 双卡双待/颜色随机）
TKMB180400F5,荣耀8青春版 全网通4G智能手机 双卡双待 珠光白 全网通标配版(3G+32G)(11452942527)
TKMB180306HH,荣耀8（4G+32G全网通/颜色随机）
TKMB180400NT,R11s 全面屏双摄拍照手机 4GB+64GB 黑色 全网通 移动联通电信4G 双卡双待手机(5425721)
TKMB180400EW,R9S(6GB+64GB 移动定制全网4G/颜色随机)
TKMB180400WT,MIX2 全网通4G智能手机 全面屏手机 黑色陶瓷版 (6G+64G)(16792210496)
TKMB18040181,华为 HUAWEI 畅享7S 全面屏双摄 4GB +64GB 金色 移动联通电信4G手机 双卡双待(6001239)
TKMB18030292,小米Max2 大屏手机 4GB+64GB 黑色 全网通4G手机 双卡双待(5159272)
TKMB18030693,X9L移动定制版（4G+64G 颜色随机）
TKMB180306H4,荣耀8（4G+32G全网通/颜色随机）
TKMB18030213,小米 红米 4X 全网通版 3GB+32GB 香槟金 移动联通电信4G手机(4510572)
TKMB1803080S,Y79A（4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB1804014P,R11s Plus 全面屏双摄拍照手机 6GB+64GB 黑色 全网通 移动联通电信4G 双卡双待手机(5762407)
TKMB180302KS,荣耀V9（移动联通电信4G/6G RAM+64G ROM/标配/颜色随机）
TKMB180303HA,小米 Note2 全网通4G 移动联通电信全网通4G智能手机 亮黑色 4+64GB(12481321553)
TKMB1804008T,R11s Plus 全面屏双摄拍照手机 6GB+64GB 黑色 全网通 移动联通电信4G 双卡双待手机(5762407)
TKMB18030698,R9S PLUST（6GB+64GB 移动定制全网4G/颜色随机)
TKMB180400W1,R11s 全面屏双摄拍照手机 4GB+64GB 黑色 全网通 移动联通电信4G 双卡双待手机(5425721)
TKMB18040133,华为 HUAWEI P10 Plus 6GB+64GB 钻雕蓝 移动联通电信4G手机 双卡双待(3893487)
TKMB180306K5,METE 8（全网通 NXT-AL10/3G+32G/颜色随机）
TKMB18030635,R9S(6GB+64GB 移动定制全网4G/颜色随机)
TKMB180400EA,R9 PLUSTM A（4GB+64GB 移动定制版全网4G/颜色随机)
TKMB18040095,X9i（4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB18030510,荣耀 畅玩7X 4GB+32GB 全网通4G全面屏手机 标配版 铂光金(5663902)
TKMB18030646,XPLAY5A（4GB+128GB 全网通4G手机 双卡双待 颜色随机）
TKMB18030514,Y75 全面屏 美颜拍照手机 4GB+64GB 磨砂黑 移动联通电信4G手机 双卡双待(6199726)
TKMB180307H0,荣耀畅玩6A(3GB+32GB 颜色随机)
TKMB180304S8,小米 红米5 Plus 全面屏手机 全网通版 4GB+64GB 黑色 移动联通电信4G手机 双卡双待(5911944)
TKMB1803070S,A77(移动联通电信4G/RAM 4G+ROM 64G/颜色随机)
TKMB180400AR,R9s Plus（移动联通电信4G/双卡双待/6GB+64GB/颜色随机）
TKMB18040034,小米MIX2 全面屏游戏手机 8GB+128GB 全陶瓷尊享版 黑色 全网通4G手机 双卡双待(5906385)
TKMB18030691,A59 （3GB+32GB全网通4G 双卡双待/颜色随机）
TKMB180303HF,荣耀V9 Play 手机 全网通4G 双卡双待 极光蓝(3G+32G)(16297121284)
TKMB180306K1,R9 （4GB+64GB 全网通4G/颜色随机）
TKMB1804007W,荣耀 畅玩5C 全网通4G智能手机 双卡双待 太空银 全网通高配版(3G+32G)(11373000374)
TKMB180400M6,Y67 全网通 4GB+32GB 香槟金 移动联通电信4G手机 双卡双待(4752442)
TKMB180400XE,A37M （2GB+16GB全网通4G手机 双卡双待/颜色随机）
TKMB18030801,X9PLUS L（4GB+64GB 移动定制版全网通4G手机 双卡双待 颜色随机）
TKMB18040180,A73 高配版 全面屏拍照手机 4GB+64GB 香槟色 全网通 移动联通电信4G 双卡双待手机(6389385)
TKMB180304S6,X9 全网通 4GB+64GB 金色 移动联通电信4G手机 双卡双待(4013117)
TKMB1803069H,METE 8（全网通 NXT-AL10/3G+32G/颜色随机）
TKMB180306S2,A59 （3GB+32GB全网通4G 双卡双待/颜色随机）
TKMB18030704,N4S（移动定制版 移动联通电信4G3GB+32GB/颜色）
TKMB180301F5,Meitu 美图T8(MP1602)4GB+128GB 极光绿 自拍美颜 全网通 移动联通电信4G手机(5247844)
TKMB180303H5,华为 畅享6S 移动联通电信 智能老人手机 双卡双待 金色 全网通4G(3G RAM+32G ROM)(11365685926)
TKMB180307F6,nova全网通_3GB+32GB 颜色随机)
TKMB180303SS,三星 Galaxy S8+(SM-G9550)6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待(4938578)
TKMB180306SK,A59s （4GB+32GB移动定制全网通 双卡双待/颜色随机）
TKMB180304S4,华为畅享7 Plus 4GB+64GB 流光金 移动联通电信4G手机 双卡双待(4093559)
TKMB1803049S,荣耀 畅玩7X 4GB+32GB 全网通4G全面屏手机 标配版 铂光金(5663902)
TKMB180303F9,荣耀V9(移动全网通定制/6GB+64GB/颜色随机)
TKMB1803049H,A57 3GB+32GB内存版 玫瑰金色 全网通4G手机 双卡双待(6117153)
TKMB180306H3,荣耀畅玩6X尊享版(4GB+64GB 颜色随机)
TKMB180306SA,红米Note 3（2G+32G高配版/全网通/颜色随机）
TKMB1803062F,R9 PLUSTM A（4GB+64GB 移动定制版全网4G/颜色随机)
TKMB180400N2,S10C （4G+32G全网通 颜色随机)
TKMB1803067A,Y66L（3GB+32GB移动全网通 颜色随机）
TKMB180400F9,X20 全面屏双摄拍照手机 4GB+64GB 磨砂黑 移动联通电信全网通4G手机 双卡双待(5025991)
TKMB18030673,小鲜4（2G+16G全网通/颜色随机）
TKMB180303F5,X9 （全网通/4GB+64GB/移动联通电信4G手机/双卡双待/颜色随机）
TKMB18030631,R9S(6GB+64GB 移动定制全网4G/颜色随机)
TKMB180304AA,荣耀 畅玩7X 4GB+32GB 全网通4G全面屏手机 标配版 铂光金(5663902)
TKMB1803048F,Y67 全网通 4GB+32GB 香槟金 移动联通电信4G手机 双卡双待(4752442)
TKMB180306K8,Galaxy A5 （2G+16G联通移动双4G/颜色随机）
TKMB18030633,F5（移动联通4G/2G+16G/颜色随机）
TKMB1803076S,S10L(6G+64G移动全网通 颜色随机)
TKMB1804003J,A57 3GB+32GB内存版 黑色 全网通4G手机 双卡双待(3979765)
TKMB18030733,华为 HUAWEI nova 2 Plus 4GB+128GB 草木绿 移动联通电信4G手机 双卡双待(5007548)
TKMB18030515,Y53 全网通 2GB+16GB 金色 移动联通电信4G手机 双卡双待(6021653)
TKMB18030762,荣耀V10（BKL-AL20/6+128G/全网通/颜色随机）
TKMB180304H8,华为 HUAWEI nova 4GB+64GB版 香槟金(白)移动联通电信4G手机 双卡双待(3355143)
TKMB18030291,小米Max2 大屏手机 4GB+64GB 黑色 全网通4G手机 双卡双待(5159272)
TKMB1803038A,R9SK(4GB+64GB 全网4GJDI屏幕/颜色随机)
TKMB180303S0,金立 M7 全面屏双摄拍照手机 星耀蓝 6GB+64GB 全网通4G手机 双卡双待(5125863)
TKMB18030534,三星 Galaxy S8+(SM-G9550)6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待(4938578)
TKMB1803065H,荣耀畅玩6X（BLN-TL10/4G+32G/移动全网通 颜色随机）
TKMB180400G6,R11 PLUS（6GB+64GB 全网通4G 双卡双待/颜色随机）
TKMB1804002X,A57 3GB+32GB内存版 黑色 全网通4G手机 双卡双待(3979765)
TKMB180302FA,X9s 全网通 4GB+64GB 移动联通电信4G手机 双卡双待 金色 标准版(13730137910)
TKMB180303E5,R11 PLUS（6GB+64GB 全网通4G 双卡双待/颜色随机）
TKMB180307A8,魅蓝E2（3G+32G全网通 颜色随机）
TKMB1804009M,X9L移动定制版（4G+64G 颜色随机）
TKMB1804003Y,Y67 全网通 4GB+32GB 香槟金 移动联通电信4G手机 双卡双待(4752442)
TKMB180400MY,红米note4（3G+32G全网通/颜色随机）
TKMB1803074S,荣耀V8（KNT-AL20/高配版/全网通/4G+64G/颜色随机）
TKMB180303S6,荣耀 畅玩5C 全网通4G智能手机 双卡双待 太空银 全网通高配版(3G+32G)(11373000374)
TKMB180306F8,A59s（全网通）(TD-LTE/FDD-LTE/32GB/颜色随机)
TKMB180400PR,Y66 （3GB+32GB 全网通4G 颜色随机）
TKMB18030203,华为 nova 移动联通电信 智能手机 双卡双待 玫瑰金 全网通4G(4G RAM+64G ROM)(11356807693)
TKMB180307E9,Mate 8（移动版 NXT-TL00 3GB+32G 颜色随机）
TKMB180306K3,X7 （4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB180401AW,R11 PLUS（6GB+64GB 全网通4G 双卡双待/颜色随机）
TKMB180400G2,R9s （全网通/双卡双待/RAM 4GB/ROM 64G/颜色随机）4
TKMB180306K2,R9S PLUST（6GB+64GB 移动定制全网4G/颜色随机)
TKMB1803075K,荣耀Note8（EDI-AL10/全网通/颜色随机）
TKMB18040026,R11s 全面屏双摄拍照手机 4GB+64GB 香槟色 全网通 移动联通电信4G 双卡双待手机(5638334)
TKMB180307HF,荣耀7i（ATH-AL00/全网通/3G+32G 颜色随机）
TKMB180304K0,魅族 魅蓝Note5 全网通公开版 3GB+32GB 星空灰 移动联通电信4G手机 双卡双待(3728945)
TKMB180307F8,P9 Plus（VIE-AL10/ 4+64G/全网通 颜色随机）
TKMB180303FE,荣耀V9(移动全网通定制/6GB+64GB/颜色随机)
TKMB1804003A,荣耀8青春版 全网通4G智能手机 双卡双待 幻海蓝 全网通高配版(4G+32G)(12994806036)
TKMB180303S8,Meitu 美图T8(MP1602)4GB+128GB 极光绿 自拍美颜 全网通 移动联通电信4G手机(5247844)
TKMB1804002F,小米 红米Note4X 全网通版 3GB+32GB 磨砂黑 移动联通电信4G手机(4390096)
TKMB180400EE,X9s L（4GB+64GB 移动定制版全网通4G手机 双卡双待 颜色随机）
TKMB18030649,XPLAY5A（4GB+128GB 全网通4G手机 双卡双待 颜色随机）
TKMB180306A0,荣耀8（4GB+64GB全网通版/颜色随机）
